EconState,XPState,TowerState,DragonState,VisionState,FightState,Action,Q_Value,IsBestAction
Econ_HardBehind,XP_HardBehind,TowerEven,DragonAhead,MedVision,LosingFight,Baron_Control,3.6210899353027344,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Tower_Push,4.667954444885254,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Safe_Farm,4.771747589111328,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Dragon_Control,5.08691930770874,True
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Vision_Control,4.465065956115723,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Group_Attack,5.048521995544434,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Baron_Control,4.938122749328613,False
Econ_Even,XP_Even,TowerEven,DragonBehind,LowVision,EvenFight,Tower_Push,3.859173536300659,False
Econ_Even,XP_Even,TowerEven,DragonBehind,LowVision,EvenFight,Safe_Farm,3.920245409011841,False
Econ_Even,XP_Even,TowerEven,DragonBehind,LowVision,EvenFight,Dragon_Control,3.4629933834075928,False
Econ_Even,XP_Even,TowerEven,DragonBehind,LowVision,EvenFight,Vision_Control,3.5668461322784424,False
Econ_Even,XP_Even,TowerEven,DragonBehind,LowVision,EvenFight,Group_Attack,3.9936439990997314,True
Econ_Even,XP_Even,TowerEven,DragonBehind,LowVision,EvenFight,Baron_Control,3.6158876419067383,False
Econ_Even,XP_Even,TowerEven,DragonBehind,MedVision,EvenFight,Tower_Push,4.042582035064697,False
Econ_Even,XP_Even,TowerEven,DragonBehind,MedVision,EvenFight,Safe_Farm,4.04132604598999,False
Econ_Even,XP_Even,TowerEven,DragonBehind,MedVision,EvenFight,Dragon_Control,3.5398194789886475,False
Econ_Even,XP_Even,TowerEven,DragonBehind,MedVision,EvenFight,Vision_Control,3.911588430404663,False
Econ_Even,XP_Even,TowerEven,DragonBehind,MedVision,EvenFight,Group_Attack,4.080074787139893,True
Econ_Even,XP_Even,TowerEven,DragonBehind,MedVision,EvenFight,Baron_Control,3.6054396629333496,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,HighVision,EvenFight,Tower_Push,4.058422088623047,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,HighVision,EvenFight,Safe_Farm,3.977348566055298,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,HighVision,EvenFight,Dragon_Control,3.3711185455322266,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,HighVision,EvenFight,Vision_Control,4.09904146194458,True
Econ_Even,XP_Ahead,TowerEven,DragonBehind,HighVision,EvenFight,Group_Attack,3.991645574569702,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,HighVision,EvenFight,Baron_Control,3.6728615760803223,False
Econ_HardBehind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Tower_Push,3.510443687438965,False
Econ_HardBehind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Safe_Farm,3.495325803756714,False
Econ_HardBehind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Dragon_Control,3.9060161113739014,True
Econ_HardBehind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Vision_Control,3.3354547023773193,False
Econ_HardBehind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Group_Attack,3.344703435897827,False
Econ_HardBehind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Baron_Control,3.900437355041504,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,EvenFight,Tower_Push,3.783172130584717,True
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,EvenFight,Safe_Farm,3.627908706665039,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,EvenFight,Dragon_Control,3.2911338806152344,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,EvenFight,Vision_Control,3.3701987266540527,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,EvenFight,Group_Attack,3.632605791091919,False
